Gene,Lineage,Posterior_median_rho,HDI_low_95,HDI_high_95,P(rho<0),P(|rho|>ROPE),N_cell_lines,ESS_bulk,R_hat,FDR
ZEB2,Skin,-0.5404467737452864,-0.6925175470169043,-0.3750553995039962,1.0,1.0,73,1506.0,1.0,0.0
CCND1,Soft Tissue,-0.5394539930993484,-0.7123907518720609,-0.2883655211205991,1.0,0.9995,45,1784.0,1.0,0.0077142857142848
HMGA2,Bone,-0.5386218827047394,-0.7694706206781634,-0.2973023652741857,1.0,0.9995,35,1595.0,1.0,0.0119999999999986
MTAP,Biliary Tract,-0.5382372494706644,-0.7461600912599793,-0.2632501604658288,1.0,0.9985,35,1724.0,1.0,0.0359999999999987
PSIP1,Bone,-0.5381294473070027,-0.7608713525501323,-0.2937754621089001,1.0,0.999,35,1713.0,1.0,0.018
IRS2,Bowel,-0.5380239409593076,-0.7026146634355295,-0.3472777492049319,1.0,1.0,59,1696.0,1.0,0.0
ELMO3,Bladder/Urinary Tract,-0.5372001641229777,-0.7644209217218629,-0.2693112213772479,0.9985,0.995,34,1497.0,1.0,0.0490909090909091
MDM2,Uterus,-0.5363419928365372,-0.7554681669097869,-0.2904586267555382,0.9985,0.9965,34,1351.0,1.0,0.0444705882352934
MDM2,Bladder/Urinary Tract,-0.5353458294649454,-0.7492193982820918,-0.2919664098989459,0.9995,0.999,34,1547.0,1.0,0.018
H2BC8,Uterus,-0.5353440597141063,-0.7492182171033719,-0.2919635142985328,0.9995,0.999,34,1547.0,1.0,0.018
ZFP36L1,Ovary/Fallopian Tube,-0.5346347587885409,-0.7213391925129944,-0.3302971206229924,1.0,1.0,56,1345.0,1.0,0.0
YAP1,Bladder/Urinary Tract,-0.5336096473527561,-0.7601186368341886,-0.2727973765032412,1.0,0.9955,34,1735.0,1.0,0.0462857142857137
SOX9,Lung,-0.5328524391966454,-0.6559628821237482,-0.4160228057314614,1.0,1.0,123,1510.0,1.0,0.0
ZEB1,Esophagus/Stomach,-0.5323512298729193,-0.6938517350620801,-0.3483245409722296,1.0,0.9995,62,1653.0,1.0,0.0038571428571424
ELK3,Soft Tissue,-0.5316648438820927,-0.7406819916819343,-0.3130754639295125,1.0,0.9995,45,1658.0,1.0,0.0077142857142848
CCND1,Breast,-0.531328709111544,-0.7039498842671592,-0.3095559876935389,1.0,0.9995,50,1897.0,1.0,0.0083076923076913
CTNNB1,Esophagus/Stomach,-0.5312675931391614,-0.7028127537370312,-0.358253324947847,1.0,1.0,62,1479.0,1.0,0.0
ACSL4,Bladder/Urinary Tract,-0.5295370898898738,-0.7471900531985007,-0.2525504470500899,0.999,0.9975,34,1467.0,1.0,0.0337499999999992
MYC,Skin,-0.5292521378570638,-0.6902211867228916,-0.3585481990238425,1.0,1.0,73,2041.0,1.0,0.0
WWTR1,Peripheral Nervous System,-0.5289121706845173,-0.7682545132012586,-0.2931145809278961,0.9995,0.9985,37,1416.0,1.0,0.0323999999999988
CCND1,Bowel,-0.5282292117193591,-0.6893313056734716,-0.3260049119796819,1.0,1.0,59,1618.0,1.0,0.0
KLHL9,Pancreas,-0.5280094704869238,-0.7202486413293041,-0.306498727239175,1.0,0.9995,45,1713.0,1.0,0.017999999999998
ITGB3,Ovary/Fallopian Tube,-0.5274340884450801,-0.7037858783228468,-0.3214118069565393,1.0,0.9995,56,1933.0,1.0,0.0051428571428565
SOX2,Head and Neck,-0.5273359746481716,-0.7041651724868538,-0.3310200053562901,1.0,0.9995,61,1657.0,1.0,0.0071999999999992
SOX2,Bone,-0.5273311736340439,-0.7647916555143339,-0.272997053194598,1.0,0.997,35,1712.0,1.0,0.0405
SMAD7,Breast,-0.5267435549521369,-0.7244344854463365,-0.3368866865252035,1.0,0.9995,50,1781.0,1.0,0.0083076923076913
LASP1,Esophagus/Stomach,-0.5259853478796749,-0.6845026319899221,-0.3337841135478024,1.0,0.9995,62,1970.0,1.0,0.0038571428571424
JUN,CNS/Brain,-0.5248820873677297,-0.6876023776210607,-0.3696925372680828,1.0,1.0,82,1778.0,1.0,0.0
CCND3,Ovary/Fallopian Tube,-0.523820504804701,-0.6963803994608457,-0.3154379073987328,1.0,0.9995,56,1435.0,1.0,0.0051428571428565
DUSP4,Esophagus/Stomach,-0.5221330404178061,-0.6856419272661345,-0.3137104996801854,1.0,1.0,62,1615.0,1.0,0.0
NCKAP1,Myeloid,-0.5216031927051586,-0.7290162225000569,-0.2645158466787307,0.9995,0.999,39,1452.0,1.0,0.0432
H2BC10,Peripheral Nervous System,-0.5208720405898775,-0.7342995310169678,-0.2561405953691185,0.9995,0.999,37,1636.0,1.0,0.024
PARD6B,Breast,-0.5189798337986523,-0.6971572867278071,-0.2764149469649581,1.0,1.0,50,1519.0,1.0,0.0
FADD,Head and Neck,-0.5185150256480872,-0.6957354149432766,-0.3184103090887926,1.0,1.0,61,1616.0,1.0,0.0
TCF7L2,Esophagus/Stomach,-0.5185086979040442,-0.6960966879448376,-0.3191866238788305,1.0,1.0,62,1927.0,1.0,0.0
ERBB2,Uterus,-0.5166153432894323,-0.7347317348728779,-0.2345336240365052,0.999,0.9975,34,1820.0,1.0,0.0385714285714277
FOXA2,Esophagus/Stomach,-0.5159474829973355,-0.6762845404568705,-0.3093858119015016,1.0,1.0,62,1655.0,1.0,0.0
FOSL1,Soft Tissue,-0.5159172191085211,-0.7304411956107137,-0.2950713196983212,1.0,0.9985,45,1843.0,1.0,0.0179999999999993
TFAP2A,Uterus,-0.5145489723234904,-0.72665971245584,-0.2489991786568268,1.0,0.9965,34,1664.0,1.0,0.0444705882352934
FADD,Esophagus/Stomach,-0.5133768118025537,-0.6717597039534149,-0.313585525974854,1.0,1.0,62,1669.0,1.0,0.0
DUSP10,Esophagus/Stomach,-0.5127825586375072,-0.679878153881571,-0.3032123228788188,1.0,1.0,62,1861.0,1.0,0.0
H3C3,Esophagus/Stomach,-0.5124564713795333,-0.6834442185854006,-0.3076710499557455,1.0,1.0,62,1978.0,1.0,0.0
TRPS1,Esophagus/Stomach,-0.5119452284332612,-0.6934236400011398,-0.3338836340112165,1.0,0.9995,62,1815.0,1.0,0.0038571428571424
RAPGEFL1,Skin,-0.5119312874404246,-0.6716627560748818,-0.3346784379210419,1.0,1.0,73,1802.0,1.0,0.0
PPM1D,Ovary/Fallopian Tube,-0.511721997164571,-0.6933619405167339,-0.3038800136575039,1.0,0.9995,56,1680.0,1.0,0.0051428571428565
RPL17,Bladder/Urinary Tract,-0.5111497680725263,-0.7405516126175844,-0.225646658842444,1.0,0.996,34,1502.0,1.0,0.0454736842105263
TIPARP,Ovary/Fallopian Tube,-0.5104161402863793,-0.6955314927465694,-0.3055734880223029,1.0,0.9985,56,1671.0,1.0,0.012461538461538
CDH2,Bladder/Urinary Tract,-0.5085929268353709,-0.760824724605236,-0.2570116482931252,0.9995,0.9975,34,1655.0,1.0,0.0337499999999992
DUSP4,Skin,-0.5085544208891082,-0.666806317195271,-0.33996992889315,1.0,1.0,73,1964.0,1.0,0.0
CCND2,Pancreas,-0.5084057695224501,-0.7044595065966999,-0.2590287376104436,0.999,0.999,45,1693.0,1.0,0.027
HNF1B,Bowel,-0.5081445908240252,-0.6827254842034638,-0.3016339935949008,1.0,0.999,59,1696.0,1.0,0.024
KLF5,Esophagus/Stomach,-0.5081352106774588,-0.6894610961927912,-0.3114173485327751,1.0,1.0,62,1945.0,1.0,0.0
CFLAR,Lymphoid,-0.5068497043498926,-0.6534849605878748,-0.3525718035415046,1.0,1.0,91,1789.0,1.0,0.0
TP63,Head and Neck,-0.5061510830990796,-0.6740606537119347,-0.3100362157935032,1.0,1.0,61,1762.0,1.0,0.0
CCND2,Esophagus/Stomach,-0.5056901812904361,-0.6977399638883046,-0.3213594120295452,1.0,1.0,62,1750.0,1.0,0.0
KLF5,Skin,-0.5054426331352068,-0.6704124356356975,-0.3103176482106184,1.0,1.0,73,1890.0,1.0,0.0
SNAI2,Uterus,-0.5052748961470989,-0.7179719170781707,-0.2250350380381633,0.9985,0.996,34,1512.0,1.0,0.048
TP63,Bowel,-0.5047821392330789,-0.6729580016918286,-0.2927783591308717,1.0,0.9995,59,1956.0,1.0,0.017999999999998
TP63,Lung,-0.5043165289886204,-0.6282835131254849,-0.3595361364084004,1.0,1.0,123,1944.0,1.0,0.0
CFLAR,Soft Tissue,-0.503119635241858,-0.6961733307188025,-0.2547033095510969,1.0,0.9985,45,1523.0,1.0,0.0179999999999993
WWTR1,Lung,-0.5026330023895382,-0.6308293284786823,-0.3496865639862814,1.0,1.0,123,1746.0,1.0,0.0
FADD,Bone,-0.5024725022388072,-0.7344101281580346,-0.2521030060464362,0.999,0.9965,35,1805.0,1.0,0.0444705882352934
RXRA,Bladder/Urinary Tract,-0.5022743576443743,-0.7549909854653691,-0.2524317005096723,1.0,0.996,34,1634.0,1.0,0.0454736842105263
SOX9,Bladder/Urinary Tract,-0.5019605097890925,-0.7376985355736778,-0.2282810570742657,0.997,0.9945,34,1590.0,1.0,0.0494999999999995
FERMT2,Bone,-0.5000531491194333,-0.7253835967703097,-0.2424249432763916,0.999,0.997,35,1668.0,1.0,0.0405
CDK6,Lymphoid,-0.4991714204288184,-0.6299353788761377,-0.3244421020793621,1.0,1.0,91,1830.0,1.0,0.0
ARL4C,Breast,-0.4982767023366547,-0.6732310370781618,-0.2706762377202842,0.9995,0.999,50,1866.0,1.0,0.0144
ELMO3,Ovary/Fallopian Tube,-0.496566752957114,-0.6842424115130883,-0.2875786811645737,1.0,0.9985,56,1735.0,1.0,0.012461538461538
ITGB5,Head and Neck,-0.4964034405707951,-0.6811833665662945,-0.2945699413584383,1.0,1.0,61,2197.0,1.0,0.0
EZR,Bladder/Urinary Tract,-0.4960599825666916,-0.72749332738246,-0.2247386056909581,0.9985,0.9945,34,1389.0,1.0,0.0494999999999995
RNF217,Head and Neck,-0.4957548191920427,-0.6806161852637764,-0.2892940090231182,1.0,0.9995,61,1744.0,1.0,0.0071999999999992
SQSTM1,Ovary/Fallopian Tube,-0.4952542512912687,-0.6836097212038637,-0.2810379075274807,1.0,0.998,56,1654.0,1.0,0.0154285714285714
MDM2,Esophagus/Stomach,-0.4939320704485785,-0.680959480716518,-0.3038674836471589,1.0,1.0,62,1346.0,1.0,0.0
CDH1,Ovary/Fallopian Tube,-0.4932440117579103,-0.6774375536572836,-0.291459329121382,1.0,1.0,56,1697.0,1.0,0.0
GAB2,Soft Tissue,-0.4907787026841279,-0.6931581585092172,-0.2647103065986584,0.9995,0.9965,45,1857.0,1.0,0.0308571428571428
MYB,Esophagus/Stomach,-0.4903707247713051,-0.6762686822949677,-0.274837058070178,1.0,1.0,62,1640.0,1.0,0.0
BET1L,Breast,-0.4903412350080252,-0.6992175757442252,-0.271505281545898,1.0,0.999,50,1802.0,1.0,0.0144
CITED2,Lymphoid,-0.4897295679702812,-0.6337799329519502,-0.3373149937681163,1.0,1.0,91,2083.0,1.0,0.0
IRS2,Lymphoid,-0.4896057179092856,-0.6467761829922491,-0.3268552983214027,1.0,1.0,91,2031.0,1.0,0.0
TGIF1,Bowel,-0.4893972065072374,-0.6584754090578651,-0.2654941412144473,1.0,0.999,59,1843.0,1.0,0.024
SOX9,Breast,-0.4883166127543738,-0.6921935804756822,-0.2616056089812208,1.0,0.998,50,1819.0,1.0,0.0227368421052631
GATA3,Ovary/Fallopian Tube,-0.4872120501534642,-0.6780347771353958,-0.2709820365194245,1.0,0.999,56,1765.0,1.0,0.009
RELA,CNS/Brain,-0.4864704342749151,-0.6420762820652426,-0.312053522544733,1.0,0.9995,82,2084.0,1.0,0.0044999999999995
SNAI2,Soft Tissue,-0.4861548317487143,-0.6971394366143819,-0.2528211865579219,1.0,0.9985,45,1567.0,1.0,0.0179999999999993
CD44,Soft Tissue,-0.4859750836522828,-0.6930170828310189,-0.2456469261367809,1.0,0.998,45,1865.0,1.0,0.0216
ZNF608,Lymphoid,-0.4857581117919337,-0.6446659270200583,-0.3198728745000609,1.0,1.0,91,1845.0,1.0,0.0
PPARG,Bladder/Urinary Tract,-0.4856077970718687,-0.706119483736728,-0.1915921117988837,0.9985,0.9955,34,1663.0,1.0,0.0462857142857137
FERMT2,Lung,-0.4842029420771041,-0.6292868464085681,-0.3504886156385774,1.0,1.0,123,1406.0,1.0,0.0
TNS3,Lung,-0.4837573917996753,-0.6119518205584071,-0.331868048861307,1.0,1.0,123,1960.0,1.0,0.0
SOX2,Lung,-0.4828278825533955,-0.6110780808330862,-0.344711262658504,1.0,1.0,123,1856.0,1.0,0.0
ZNF217,Breast,-0.4827653938116329,-0.6863350925674039,-0.2539736958275607,1.0,0.998,50,2111.0,1.0,0.0227368421052631
ACSL4,Soft Tissue,-0.4826176751595885,-0.6818157085919128,-0.2473092999038883,1.0,0.998,45,1755.0,1.0,0.0216
H3C3,Soft Tissue,-0.4821566282916387,-0.6741613995753191,-0.225056404604415,0.9995,0.9965,45,1596.0,1.0,0.0308571428571428
ZFP36L1,CNS/Brain,-0.4806358769364008,-0.6419810170132452,-0.3237688533602356,1.0,1.0,82,1961.0,1.0,0.0
DOCK10,CNS/Brain,-0.480156720856279,-0.6404095467723123,-0.2986118062300443,1.0,1.0,82,2111.0,1.0,0.0
TCF7L2,Pancreas,-0.4800969141482151,-0.6956247308686576,-0.2668693709947778,1.0,0.999,45,1815.0,1.0,0.027
DOCK5,Ovary/Fallopian Tube,-0.4787437535179004,-0.6867492509330577,-0.2736384861614822,1.0,0.9995,56,2157.0,1.0,0.0051428571428565
MTAP,Pancreas,-0.476730833280062,-0.6925572853585402,-0.2333755015285094,0.9995,0.997,45,1872.0,1.0,0.0498461538461538
ZEB2,CNS/Brain,-0.4765534274635036,-0.6467730608723783,-0.3096708905881145,1.0,0.9995,82,1651.0,1.0,0.0044999999999995
ELK3,Ovary/Fallopian Tube,-0.4759470750644394,-0.6577297997147991,-0.2582263237905628,1.0,0.9995,56,2197.0,1.0,0.0051428571428565
FDFT1,Soft Tissue,-0.4755771310361053,-0.6792401047831282,-0.2077359535613681,0.999,0.997,45,1729.0,1.0,0.0308571428571428
FERMT2,Esophagus/Stomach,-0.4728245988850965,-0.6548857224596896,-0.2669199756473253,1.0,0.9995,62,1528.0,1.0,0.0038571428571424
SOX9,Esophagus/Stomach,-0.4726842474648777,-0.6590193033070535,-0.2690980636790953,1.0,1.0,62,2045.0,1.0,0.0
RAC1,CNS/Brain,-0.4723492779362262,-0.622400563622723,-0.2934778136637075,1.0,1.0,82,1553.0,1.0,0.0
CFLAR,Pancreas,-0.4718384170021557,-0.6740536640834627,-0.2257357084862023,0.9995,0.998,45,2021.0,1.0,0.0432
FERMT2,Pancreas,-0.4706142191791069,-0.6962255761584248,-0.2559815754424268,1.0,0.997,45,1690.0,1.0,0.0498461538461538
CDK6,Pancreas,-0.4698084763776853,-0.6762038348415225,-0.223962968084181,0.9995,0.9985,45,1672.0,1.0,0.0359999999999987
TIPARP,Skin,-0.4694915568636688,-0.6532635870212924,-0.2966948943322325,1.0,1.0,73,2037.0,1.0,0.0
YPEL5,Soft Tissue,-0.4686896105235688,-0.6996942894158815,-0.2619448525848332,0.9995,0.995,45,1580.0,1.0,0.0372413793103448
SOX2,Breast,-0.4678679329048449,-0.6610700470838877,-0.2114335815567816,0.999,0.9955,50,1677.0,1.0,0.0388799999999995
MSN,Soft Tissue,-0.4678094558432597,-0.6738311605260763,-0.2089079125428528,1.0,0.9965,45,1623.0,1.0,0.0308571428571428
JUNB,Lymphoid,-0.4676506691233673,-0.6293479284072061,-0.3086920089346419,1.0,0.9995,91,1970.0,1.0,0.0043199999999995
PIK3CD,Soft Tissue,-0.4675478273606358,-0.678831781824331,-0.2177270965048543,1.0,0.996,45,1834.0,1.0,0.0308571428571428
BCL2,Lymphoid,-0.4675296530707917,-0.6169408982592126,-0.3095133656995057,1.0,1.0,91,2112.0,1.0,0.0
CCND2,Soft Tissue,-0.4674112608734828,-0.6804299655619506,-0.2100991051573931,1.0,0.996,45,1693.0,1.0,0.0308571428571428
ATP5F1B,Soft Tissue,-0.4669610123105695,-0.6803130626044132,-0.22534813712203,0.9995,0.996,45,1791.0,1.0,0.0308571428571428
PPARG,Pancreas,-0.4662171838257304,-0.6721561158429568,-0.2214879733467257,1.0,0.997,45,1603.0,1.0,0.0498461538461538
ZNF217,Ovary/Fallopian Tube,-0.4651463236377906,-0.6547319570566201,-0.2493558336790042,1.0,0.999,56,1617.0,1.0,0.009
H2BC14,CNS/Brain,-0.4650145034947966,-0.6295290382817833,-0.2875593258268844,1.0,0.9995,82,1899.0,1.0,0.0044999999999995
H4C13,Esophagus/Stomach,-0.4647119191250077,-0.6340217771711851,-0.2490526710903449,1.0,0.9995,62,1841.0,1.0,0.0038571428571424
ERBB2,Ovary/Fallopian Tube,-0.4642924134081742,-0.6536289032534914,-0.2349667908482921,1.0,0.9995,56,1792.0,1.0,0.0051428571428565
FGFR1,Lung,-0.4639113417614506,-0.5897454144404255,-0.3150924662520645,1.0,1.0,123,1960.0,1.0,0.0
SNAI2,Skin,-0.4636127376495035,-0.6430752877754582,-0.2798979484777603,1.0,0.999,73,1666.0,1.0,0.0102857142857142
CDK6,CNS/Brain,-0.4635733317580621,-0.6335744910864072,-0.2931598140869265,1.0,1.0,82,1984.0,1.0,0.0
DOCK10,Head and Neck,-0.4635181528374781,-0.6691992371952808,-0.2786462796499034,1.0,0.9995,61,1839.0,1.0,0.0071999999999992
ARHGAP29,Esophagus/Stomach,-0.4634621634690326,-0.6405248367571785,-0.2546095061894833,1.0,0.9995,62,1664.0,1.0,0.0038571428571424
CMIP,Lymphoid,-0.4634091107960567,-0.6013776576636283,-0.2806051813535855,1.0,1.0,91,2017.0,1.0,0.0
YAP1,Skin,-0.4630210342939937,-0.6363515567130165,-0.2878849581077956,1.0,0.999,73,2018.0,1.0,0.0102857142857142
TRIO,Esophagus/Stomach,-0.462793433196715,-0.6561355521880905,-0.2682917819721124,1.0,0.999,62,1543.0,1.0,0.0074482758620689
CFLAR,Esophagus/Stomach,-0.461953955238179,-0.6465424530859498,-0.2494874454088984,1.0,1.0,62,1940.0,1.0,0.0
TUBB,Bowel,-0.4619261052332412,-0.6519668047070641,-0.2551770516835345,0.9995,0.9985,59,1855.0,1.0,0.0294545454545443
PTP4A1,Ovary/Fallopian Tube,-0.4617918689143792,-0.6550734422800484,-0.2594875516360218,1.0,0.999,56,1837.0,1.0,0.009
TWIST1,Esophagus/Stomach,-0.4612072593711797,-0.6541798405877803,-0.2588973178791653,1.0,1.0,62,1875.0,1.0,0.0
SMARCA4,Lung,-0.4603144153172995,-0.6039065430255748,-0.3229856737779706,1.0,1.0,123,1935.0,1.0,0.0
IRS1,Bowel,-0.4595109329956832,-0.6421346199502638,-0.2346146499639453,1.0,0.9975,59,1973.0,1.0,0.0415384615384606
CDH2,Esophagus/Stomach,-0.4590305418649612,-0.6330638584779527,-0.2343107153149117,0.9995,0.9985,62,1944.0,1.0,0.0107999999999996
RHD,Breast,-0.4589641512743447,-0.6628541927608091,-0.2249997643756675,0.9995,0.9985,50,1766.0,1.0,0.0202499999999992
GPX8,CNS/Brain,-0.4588693129020219,-0.6263589232946072,-0.286246907440308,1.0,0.9995,82,2100.0,1.0,0.0044999999999995
SOX9,Head and Neck,-0.4585293423690709,-0.6560954805805936,-0.2410908604948505,0.9995,0.9955,61,1888.0,1.0,0.0441818181818176
SNAI2,CNS/Brain,-0.4563715656714791,-0.619468955524463,-0.2784918413664292,1.0,1.0,82,2013.0,1.0,0.0
CCNE1,Breast,-0.456370406154858,-0.6710202404138621,-0.2156611972657094,1.0,0.994,50,1931.0,1.0,0.0412941176470585
BCL2,Breast,-0.4563537549908686,-0.6709967312190297,-0.2156321448540383,1.0,0.994,50,1931.0,1.0,0.0412941176470585
NEDD9,Skin,-0.4536781486332115,-0.6189423966620837,-0.2548686527322854,1.0,0.9995,73,1568.0,1.0,0.0056842105263151
DUSP4,Breast,-0.4530371497763175,-0.6737123859357292,-0.2488505161716668,1.0,0.997,50,1879.0,1.0,0.0308571428571428
GRHL2,Breast,-0.451938604025035,-0.656079530737494,-0.2196677242010908,1.0,0.9955,50,1696.0,1.0,0.0388799999999995
CCND2,Lung,-0.4508313359202419,-0.5839303277395742,-0.2991406076321514,1.0,1.0,123,1719.0,1.0,0.0
MYC,CNS/Brain,-0.4507967365277937,-0.6106682396073861,-0.2802158990146093,1.0,0.9995,82,2108.0,1.0,0.0044999999999995
MYC,Head and Neck,-0.4503321113497872,-0.6320247844786373,-0.2228597953649249,1.0,0.999,61,1922.0,1.0,0.0127058823529411
ITGAV,CNS/Brain,-0.4501641956602038,-0.6089308271214937,-0.2581946251270284,1.0,1.0,82,2067.0,1.0,0.0
FOXA1,Lung,-0.4500982406840337,-0.5785007963515123,-0.2931826013973988,1.0,1.0,123,2178.0,1.0,0.0
MTAP,Breast,-0.4499602543647323,-0.6575160820881019,-0.2068205139070608,1.0,0.994,50,1637.0,1.0,0.0412941176470585
FERMT2,Breast,-0.4499263493954806,-0.645083923364965,-0.2154879293846228,1.0,0.9945,50,2032.0,1.0,0.0412941176470585
BCL2L1,Soft Tissue,-0.44930853418293,-0.6791032232521061,-0.2023542428604321,0.9995,0.996,45,1515.0,1.0,0.0308571428571428
AP1M1,Breast,-0.4490478921387215,-0.6701460916550088,-0.2153490874657903,0.9995,0.995,50,2070.0,1.0,0.0412941176470585
PTMA,Bowel,-0.4478799240575718,-0.6400687557213067,-0.228074812206747,1.0,0.9985,59,1737.0,1.0,0.0294545454545443
DUSP4,Bowel,-0.4478770460033759,-0.6306265780063716,-0.2322438192966486,1.0,0.998,59,1918.0,1.0,0.036
FOSL1,Breast,-0.447515892957695,-0.6519246192172041,-0.2291898994989356,1.0,0.998,50,1816.0,1.0,0.0227368421052631
MTAP,Ovary/Fallopian Tube,-0.4474413880429839,-0.641303052163426,-0.2075650637243358,1.0,0.9975,56,1863.0,1.0,0.0179999999999996
RAPGEFL1,Breast,-0.4472248925118869,-0.6598579577195198,-0.218138926746972,0.9995,0.997,50,1828.0,1.0,0.0308571428571428
LDB1,Breast,-0.4467587394016855,-0.6485656649145051,-0.2151245344323769,0.9995,0.9965,50,1691.0,1.0,0.0343636363636358
DUSP10,Head and Neck,-0.4456281392567751,-0.6427607442025387,-0.2436417869167813,1.0,0.999,61,1732.0,1.0,0.0127058823529411
CCNE1,Skin,-0.4452534510910135,-0.6200721737634898,-0.2510647172108861,1.0,1.0,73,1778.0,1.0,0.0
MYB,Bowel,-0.4450483064725501,-0.6413218220970129,-0.2157128865196711,1.0,0.999,59,1873.0,1.0,0.024
TIPARP,Lymphoid,-0.4432672640017761,-0.5971107653497503,-0.2686515531100244,1.0,1.0,91,1867.0,1.0,0.0
SNAI2,Lung,-0.4425106135980903,-0.5776742631483986,-0.2908898270395341,1.0,1.0,123,2063.0,1.0,0.0
IGF1R,Ovary/Fallopian Tube,-0.4416116934472768,-0.6456251850507906,-0.2093383876250143,0.9995,0.996,56,2001.0,1.0,0.0246857142857143
