gene,cancer_type,n_patients,cox_hr,cox_pvalue,logrank_pvalue,cox_fdr
TGIF1,LUAD,565,1.2756460983228477,0.0003935163329792,0.011476033309757,0.0082845543785097
FN3KRP,KIRC,603,0.8002662353239093,0.0003959425068154,0.0018857423332296,0.0082871687473008
SNAI2,LUAD,565,1.28394180213158,0.0004068109698975,0.1244595215097152,0.0084654305874634
GFI1,SKCM,455,0.7983262481153849,0.0004184841579746,9.55073066960315e-05,0.008658292923613
LEMD3,KIRC,603,0.7980899554973165,0.0004219007671053,0.0071480353478438,0.0086791014947393
ZEB1,BLCA,425,1.289322668827554,0.0004346751803654,0.0207462922965409,0.0088655393252156
SOX17,LUSC,542,1.241395657500888,0.0004358890168231,0.0006666845979623,0.0088655393252156
CCND1,KIRC,603,0.789259632536427,0.0004383943961363,0.0005974638265418,0.0088664035173642
BCL6,SKCM,455,0.7862506902127097,0.0004490438044858,0.0048718139065628,0.0090310485818379
CD19,LUAD,565,0.778486174892669,0.0004548172875664,0.0044134994735425,0.0090963457513298
CLTB,LUAD,565,1.289790425512885,0.0004694705757938,0.0106333319947535,0.0092476327731895
HNF1B,LUSC,542,1.267639706984589,0.0004696074863185,0.0252464960038722,0.0092476327731895
MEF2C,KIRC,603,0.7903286395528617,0.0004700879993037,0.0133331180349354,0.0092476327731895
PTBP3,KIRC,603,0.7814722507360892,0.0004943728668806,1.7355817887654312e-06,0.0096725126128826
DUSP22,LUSC,542,1.262568892459171,0.0005271324931933,0.0003705684443664,0.0102577133810598
ATP5F1B,LUAD,565,1.2672749299635178,0.0005311822407263,0.0177344504101854,0.0102809465947039
ISL1,KIRC,603,1.255864872292496,0.0005653284313202,,0.0108833280895874
PIM2,KIRC,603,1.2522488394639673,0.0005913093709248,0.038340077183565,0.011322945400689
SLC17A4,KIRC,603,0.805813327220776,0.0005949122274886,0.0035310424669901,0.0113316614759751
TFAP2A,KIRC,603,1.2519362770177576,0.0006067197093131,7.374591398003825e-06,0.0114957418606704
GNPNAT1,KIRC,603,0.7889568929906196,0.0006185423363944,0.0067206739238044,0.0116487217954487
GATA2,KIRC,603,0.7837950891998559,0.0006212651624239,0.0392603897731001,0.0116487217954487
ZSCAN1,LUSC,542,1.2536946931752084,0.0006326322315255,0.0043612997725397,0.0117848691381945
IKZF3,HNSC,563,0.8124114841277278,0.0006350735035582,0.0076802463318367,0.0117848691381945
EPC2,KIRC,603,0.8082753793737592,0.0006658315157086,0.0087678324657546,0.0122922741361592
NFIX,KIRC,603,0.804101103475252,0.0006757665568995,0.0327895801899801,0.0124120388001966
RAPGEF2,LUSC,542,1.2551315723171363,0.0006970553021278,0.0167240135236463,0.012738066434824
PRDM16,LUAD,565,0.7935601338189326,0.0007071657123133,0.0078684699383754,0.0128575584056974
CRTC3,KIRC,603,0.801121324222279,0.0007179177136644,0.0055358995656103,0.0129874561265934
C1GALT1C1,KIRC,603,0.7892134313683926,0.000733037504424,0.0005360377618576,0.0131946750796335
CHRM2,KIRC,603,1.2366364961106873,0.0007520622579574,,0.0134697717843123
PMPCA,KIRC,603,0.7957838186487751,0.0007724769771086,0.0002939834813854,0.0136928975351533
CD47,SKCM,455,0.7819881440636126,0.0007746827655748,0.0091396479608616,0.0136928975351533
TFAP2A,SKCM,455,1.2912965323865002,0.0007759308603253,0.0699257956666932,0.0136928975351533
CCND1,HNSC,563,1.232263100294985,0.0008046678466425,0.0507208471563565,0.0141307524288455
PHLDB2,STAD,443,1.2889758420827455,0.0008150184914581,0.0329471242263951,0.0142294362042129
EXT1,LUAD,565,1.2636301368622953,0.000819729095379,0.000611517516845,0.0142294362042129
TRPS1,BLCA,425,1.299167919820836,0.00082214520291,0.0142844395485678,0.0142294362042129
CD81,LUSC,542,1.2410860631938931,0.0008261913921345,0.0003322367654223,0.0142310479027958
MAFK,LUAD,565,1.2815991946186842,0.0008306892778733,0.1882128318918162,0.0142403876206857
CFLAR,LUSC,542,1.242840082391078,0.000888286307225,0.0215735518590713,0.0151555957630805
PXN,LUAD,565,1.2899018423982234,0.0009317695555313,0.0319857994552319,0.015822501886381
GPC1,LIHC,420,1.3873210760723638,0.0009460804379844,0.0007450826318218,0.0159900919095966
FLI1,SKCM,455,0.8006939765531038,0.0009819038580148,0.0012799649409827,0.0165180088264188
H2BC10,KIRC,603,1.242827160711406,0.0009914053172206,,0.0165812100812549
KLF5,KIRC,603,0.7860460456543058,0.0009948726048752,8.219705324027864e-05,0.0165812100812549
FOXA1,BLCA,425,0.8040970448415137,0.0010306653641992,0.0032037187740806,0.0170985959037658
DOK4,LUSC,542,1.2248127900775247,0.0010506427374651,0.0053489413846641,0.017253337596673
CYP8B1,KIRC,603,0.7993293439498831,0.0010512235543119,0.0268969610866722,0.017253337596673
SATB2,LUAD,565,1.2646333732957196,0.0010543706309077,0.0022309887216413,0.017253337596673
TFAP2A,LUAD,565,1.2501494180361312,0.0010723249055685,0.0003956694970329,0.0174677360183107
SASH3,HNSC,563,0.823258809333933,0.0010847550118633,0.0253380248796539,0.0175742764730611
YAP1,KIRC,603,0.8099520306320263,0.0010903142217813,0.0028703979405408,0.0175742764730611
ACTG1,LUAD,565,1.265697560266749,0.0010952374268954,0.1021078128180631,0.0175742764730611
LUC7L,BLCA,425,0.7767344910950053,0.0010983922795663,0.0032383741806072,0.0175742764730611
FOXA2,LUSC,542,1.2553095781106078,0.0011525220136438,0.084320101512915,0.0183587577394597
PLCG2,KIRC,603,0.7769254262089694,0.0011599316047665,0.0064281825239684,0.0183953910888088
TXLNG,SKCM,455,0.7928573120202858,0.0011839964828351,0.0401414778589656,0.0186946813079227
MAFF,LIHC,420,1.2956062691180483,0.0011967880060567,0.0048264095458531,0.0188141345930323
RBFOX2,KIRC,603,0.8097091904455045,0.0012615841974553,0.0113497167868899,0.0196387862245147
SATB2,KIRC,603,0.8264896341492631,0.0012689610722746,3.6949073465213417e-06,0.0196387862245147
IKZF2,SKCM,455,0.802955675098327,0.0012711180620174,0.0066946602336532,0.0196387862245147
RRAS2,KIRC,603,0.8052796872719216,0.0012751187165798,0.0150491526660746,0.0196387862245147
ITGB3,BLCA,425,1.2897711419699132,0.0012765211045934,0.0013538209765196,0.0196387862245147
POU3F2,KIRC,603,1.2650168258548349,0.0012875236491873,0.0483062551750302,0.0197237665407428
RFX8,BLCA,425,1.305864721070992,0.001373939878427,0.0203863103939932,0.0209584049251588
BAMBI,LIHC,420,1.326128420570258,0.001383827641916,0.0004882971574164,0.0210201667126493
PRDM16,KIRC,603,0.7904129989235863,0.0013914418934439,1.493923998824133e-05,0.0210470202369677
JUN,BLCA,425,1.2779593023790494,0.0014207423429326,0.0577636141570971,0.0213359313188696
ELMO1,SKCM,455,0.8097060959429219,0.0014223954212579,0.0009065634807196,0.0213359313188696
SH3GL1,LUAD,565,1.275683500907519,0.001453047505629,0.0305442692308345,0.0216181449052023
IKZF1,HNSC,563,0.8285740329316318,0.0014532197408497,0.002572606714992,0.0216181449052023
ILK,BLCA,425,1.2484916356642464,0.0014821392045169,0.0134601762166473,0.0219576178446952
MAGEH1,STAD,443,1.2881685687497626,0.0014953564235532,0.0116166498201355,0.0220626357573429
PITX2,LIHC,420,1.268112654172087,0.0015061698400194,,0.0221314752002856
NKX2-1,KIRC,603,1.2046086607246442,0.0015239520497003,,0.0223017373126887
PTP4A1,KIRC,603,0.8027736766979175,0.001538259355596,0.0376916914726124,0.0224199744135456
JUN,LUSC,542,1.2262934952331708,0.0015823734853519,0.02682517182067,0.0229699376905922
MRPL19,KIRC,603,0.8143690612779221,0.0016174531495172,0.0121721653415611,0.0233047061112257
BASP1,STAD,443,1.2784915730005768,0.0016183823688351,0.0018684291775304,0.0233047061112257
FOSL1,HNSC,563,1.2323341088985773,0.0016521630889616,0.0184051273430887,0.0236963630289324
MYC,BLCA,425,1.279591747464908,0.0017069406195707,0.0034346485102341,0.0243848659938683
MEF2B,HNSC,563,0.8418843892769684,0.0017442948790941,0.0143729850452256,0.0248200061847391
ARHGAP45,SKCM,455,0.8184717981414817,0.0017536551465721,0.0969817281157913,0.0248549548333066
H3C8,LUSC,542,0.8236123131731499,0.0017607401023278,0.0021827148631356,0.0248575073269814
PGM3,BLCA,425,1.2704010666965069,0.0017854019794075,0.196746272252512,0.0251072153354189
GFPT1,KIRC,603,0.805322247102378,0.0018176956601765,0.0425372056650832,0.0254618847339899
GPC1,LUAD,565,1.2704795744915829,0.0018282879327929,0.0431724220740576,0.0255109944110648
PPOX,KIRC,603,1.2608040109392455,0.001862931180031,0.0464899955012559,0.0258940241239839
AFF2,UCEC,193,0.6051656602956177,0.001884732876285,0.3195973985558411,0.0260935291275163
IRF4,LUAD,565,0.8078880177255511,0.0019015881186635,0.0139034934627732,0.0260935291275163
SP8,KIRC,603,1.2034409635231431,0.0019038488391134,,0.0260935291275163
TCF3,KIRC,603,1.2694109973842689,0.0019062772668157,0.0688744180805874,0.0260935291275163
FABP1,KIRC,603,0.8111420406635648,0.0019209030273039,0.0053377627616505,0.0261941321905081
EIF4A1,LUAD,565,1.2310883007566429,0.0019419544837338,0.0340343843898295,0.0263812684582712
ILK,LUSC,542,1.2127123303492706,0.0020416972747946,0.0178863199937759,0.0275613019860795
PSMD11,LUAD,565,1.2311556484125583,0.0020441298973008,0.0194777874735504,0.0275613019860795
TFAP2C,KIRC,603,1.2320092773809166,0.0020557358084522,0.0001202361987502,0.0276143616060752
ADNP,KIRC,603,0.8128457248481055,0.0020926241252896,0.0194226480274849,0.0280053786284118
EZR,HNSC,563,1.232394472443352,0.0021134687847557,0.0120821328764255,0.0281055869744882
RAC1,LIHC,420,1.2568350820083665,0.0021157261305795,0.3297237798646114,0.0281055869744882
NAMPT,BLCA,425,1.2778821622704573,0.0021428313494841,0.1806270211133014,0.0283610031549375
H2BC8,KIRC,603,1.3067568601683883,0.0021527942562371,0.023235089190222,0.0283884956866431
VCPIP1,KIRC,603,0.8200302771056277,0.0021680431254582,0.0005089061447935,0.0283939799980434
TFDP2,KIRC,603,0.8128544846229928,0.0021689845831838,0.0598189308509507,0.0283939799980434
DYRK1A,KIRC,603,0.8217505701011463,0.0022093033595659,0.0008512064378256,0.0286504351345207
ZBTB7B,KIRC,603,0.832696543681828,0.0022113733239417,0.0002245234168073,0.0286504351345207
FAM50A,KIRC,603,1.2746235038253757,0.0022155792129611,0.2946253803851352,0.0286504351345207
KLF5,SKCM,455,1.2296166411302556,0.0022268090046672,0.0037101244942187,0.0286504351345207
INTU,SKCM,455,0.8022499948755325,0.0022283671771293,0.3111701700981504,0.0286504351345207
GPC1,BLCA,425,1.258460589213099,0.0022599772558564,0.215870611503967,0.0289534452707583
SMAD7,SKCM,455,0.7914085043871011,0.0023273775128386,0.0186064729221994,0.0297112022915574
PCDHB12,BLCA,425,1.2851022154873943,0.0023936118394957,8.574142223782942e-06,0.0304487725165542
BATF3,SKCM,455,0.819057551706413,0.0024492470158855,0.0065819743063513,0.0310467931591122
DLX2,LUAD,565,1.2318947914463645,0.0024791606212177,0.0264794206010197,0.0313157131101183
DAB2IP,LUSC,542,1.2246725152175868,0.0024889778482304,0.0058532552565948,0.0313297910966069
BCL2L1,LUAD,565,1.247992457453981,0.0025339702934589,0.2097600848921147,0.0317849932280569
CD19,SKCM,455,0.825125074905685,0.002559657631824,0.000235469273647,0.0319957203978006
PRKRA,LIHC,420,1.2795390822569492,0.0025887670771197,0.0253534620256151,0.0322476175696582
PLCG2,SKCM,455,0.8134019686858445,0.0026343300645616,0.003360110704987,0.0327020283876616
POU2F2,KIRC,603,1.2330199371104158,0.0026469519033842,0.0102599927248822,0.0327457967428984
CHRM2,BLCA,425,1.239979820315022,0.0027272325668151,0.021858507367114,0.0336234152073102
PAX5,LUAD,565,0.8160893777774892,0.0028420449327808,0.0202714505748847,0.0348118948268147
CD79B,LUAD,565,0.8120164602231271,0.0028486764805205,0.0390170499629383,0.0348118948268147
TIPARP,LUSC,542,1.2180675472093907,0.002859248690767,0.01723758752949,0.0348118948268147
ILK,KIRC,603,0.8157281943849889,0.0028623113524269,0.0008006737630366,0.0348118948268147
BATF,KIRC,603,1.2511137427237895,0.0028731889957741,0.0033595474704599,0.0348265332821109
TNFRSF12A,LUSC,542,1.211644656189807,0.0028876347995551,0.0072984501387105,0.0348841787865724
SURF4,BLCA,425,1.2850762917615033,0.0029167879089819,0.0361955083445864,0.0351185166298828
PCDHB12,COAD,329,1.3757784837247558,0.0029827322341573,0.0060830558143885,0.0355948252945886
MCL1,LUSC,542,1.214973545066308,0.0029839791859841,0.2358406981450253,0.0355948252945886
EBF1,BLCA,425,1.2452759875200912,0.0029860103441571,0.0435683275210927,0.0355948252945886
DKK1,STAD,443,1.2646425224254991,0.0030266398830006,0.0019426269556064,0.0359600778178291
N4BP3,SKCM,455,1.2204458394986224,0.0030602652566221,0.0110210979714703,0.0362399833021038
VCPIP1,SKCM,455,0.8043122481300188,0.0031349590717937,0.0159726478747544,0.0370027956015002
AJUBA,SKCM,455,1.2552960762784189,0.0031853658971992,0.0112993387672847,0.0374748929082259
ITGB3,SKCM,455,0.8270742160750616,0.0031975155994872,0.0047219612245542,0.0374952969320983
ELMO1,STAD,443,1.2669519084397407,0.0032137721229045,0.0861872758714463,0.0375590944814996
RBM47,SKCM,455,0.8202284123055321,0.0032364839008688,0.0004498401625046,0.0375590944814996
MYOD1,HNSC,563,1.1952280546640894,0.0032391996617048,0.0007319090406552,0.0375590944814996
PRDM16,LUSC,542,1.211065359123228,0.0032446884399295,0.0001456373160077,0.0375590944814996
TIPARP,KIRC,603,0.7846331446358759,0.0033504496058888,0.0062768593502059,0.0386590339141016
MAFF,HNSC,563,1.2087966003201889,0.0034148388297422,0.0347108908875978,0.0392761015561414
POU2AF1,LUAD,565,0.8202625811559652,0.0034514250387101,0.0105657960669699,0.0393884347650093
CDH2,BLCA,425,1.2466291166420211,0.0034553363117118,0.0043834267402953,0.0393884347650093
KRT4,BLCA,425,1.2487049740591556,0.0034574292738174,0.1380994594052796,0.0393884347650093
CD44,KIRC,603,1.2457770830740529,0.003483692501108,0.529156923041522,0.039562438498388
ZEB2,LUSC,542,1.208139871641883,0.0035223674689724,0.0017401985266374,0.0398758581393104
KLF5,LUAD,565,1.2229254825656433,0.0036950113722585,0.0850098400256352,0.0415827364040037
EIF2D,BLCA,425,1.285236214236636,0.0036962432359114,0.1336608353625383,0.0415827364040037
POU2AF1,KIRC,603,1.232705927987379,0.0037613931114575,0.0058744615916531,0.0418354614222666
PREX1,LUSC,542,1.207415097050525,0.0037626906891774,0.1299597994784563,0.0418354614222666
ZFP36L2,KIRC,603,0.8177922389924934,0.0037680474542929,0.0032180367740686,0.0418354614222666
DLX2,UCEC,193,1.7063997895658285,0.0037705670747762,0.064034017903796,0.0418354614222666
ATP5F1A,BLCA,425,1.2479434250689685,0.0037768124895101,0.0820009123913774,0.0418354614222666
ELMO1,BLCA,425,1.2470521457815853,0.0038345708153727,0.0272114281281428,0.0422851140228683
CD63,LUSC,542,1.2020129046136534,0.0038408978570772,0.0667563771269532,0.0422851140228683
ADD1,LUSC,542,1.2159090873649554,0.0038849590870913,0.006576901338413,0.0426397948583197
PSMB5,BLCA,425,1.2595630621067544,0.0039651294796472,0.2103979331699713,0.0433874350356536
EXT1,KIRC,603,0.8319888218775024,0.0040138082900672,0.0039253195736331,0.0437869995280059
CD79A,LUAD,565,0.8188422990386465,0.0040700748070267,0.155976970161914,0.0442666746383579
AFF2,STAD,443,1.2476651169345083,0.0041096899162727,0.0043732434658597,0.0445629027065723
MAFF,LUSC,542,1.20380206008419,0.0041603487530289,0.0701503823006114,0.0449767432759882
ARHGAP45,HNSC,563,0.8413886143792473,0.0042409376799487,0.019649358942651,0.0457107055323816
AFF2,KIRC,603,0.8425095644504019,0.0043334545872763,0.0004835477991519,0.0465684672065514
NFATC2,SKCM,455,0.8226867738993425,0.004365005701192,0.0297922680045788,0.0467679182270576
CLMP,BLCA,425,1.2484137618108864,0.0043857352679326,0.039922602966155,0.0468505844645619
CDK4,SKCM,455,1.1899885962017775,0.0044542460823293,0.0005207510279859,0.0474416742496612
FERMT2,STAD,443,1.2265464319797652,0.0044787374229117,0.0302763413866496,0.0475618133406552
CDKN2A,HNSC,563,0.839321552099825,0.0044967361481145,0.0092835369272451,0.0476125003918008
AFF1,LUSC,542,1.2147498895738051,0.0045228084641015,0.0725766070940268,0.0477481245476997
HNF1B,KIRC,603,0.82424199385834,0.0045949296298254,0.0733582907278821,0.048367680313952
JAML,HNSC,563,0.838900435174772,0.0046583534159029,0.0003270404149132,0.0488923390590399
MAFK,LUSC,542,1.207745417282579,0.0046793315388953,0.0337952810821247,0.0489697486628579
SIK3,BLCA,425,1.2478749341889626,0.004755350085092,0.0725278890270874,0.0495001876381118
ESR1,KIRC,603,0.8327843196170952,0.0047575180341074,0.0008430549576032,0.0495001876381118
TP63,BLCA,425,0.8285158343704715,0.0047789992705884,0.403261442094633,0.0495430778349214
GATA3,SKCM,455,0.8260645923126488,0.004789164190709,0.0963262677423226,0.0495430778349214
HOXC8,BLCA,425,1.2498946743601438,0.0048349900039165,0.0716706373119923,0.0498534720156525
TEAD3,SKCM,455,1.228919325291119,0.0048468653348551,0.0536511165465229,0.0498534720156525
